term;frequency
founded;1
as;4
a;3
roman;1
city;3
in;3
the;13
middle;1
ages;1
barcelona;5
became;1
capital;2
of;9
county;1
after;1
merging;1
with;1
kingdom;1
aragon;2
continued;1
to;1
be;1
an;3
important;2
crown;2
economic;1
and;7
administrative;1
centre;2
this;1
principality;1
catalonia;1
has;1
rich;1
cultural;2
heritage;2
is;3
today;1
major;1
tourist;1
destination;1
particularly;1
renowned;1
are;1
architectural;1
works;1
antoni;1
gaudí;1
lluís;1
domènech;1
i;1
montaner;1
which;1
have;1
been;1
designated;1
unesco;1
world;1
sites;1
headquarters;1
union;1
for;2
mediterranean;1
located;1
known;1
hosting;1
summer;1
olympics;1
well;1
worldclass;1
conferences;1
expositions;1
also;1
many;1
international;1
sport;1
tournaments;1
